,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,mo_sold,yr_sold,sale_type,saleprice
0,533352170,60,RL,,13517,Pave,Lvl,CulDSac,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,Gd,6,Typ,0,,Attchd,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,3,2010,WD ,130500
1,531379050,60,RL,43.0,11492,Pave,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,Gd,8,Typ,1,TA,Attchd,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,4,2009,WD ,220000
2,535304180,20,RL,68.0,7922,Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,Gd,5,Typ,0,,Detchd,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,1,2010,WD ,109000
3,916386060,60,RL,73.0,9802,Pave,Lvl,Inside,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,TA,7,Typ,0,,BuiltIn,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,4,2010,WD ,174000
4,906425045,50,RL,82.0,14235,Pave,Lvl,Inside,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,TA,6,Typ,0,,Detchd,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,3,2010,WD ,138500
5,535126040,20,RL,137.0,16492,Pave,Lvl,Corner,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,Gd,6,Mod,1,Gd,Attchd,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,6,2010,WD ,190000
6,908186070,180,RM,35.0,3675,Pave,Lvl,Inside,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,TA,5,Typ,0,,Basment,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,6,2006,New,140000
7,535154050,20,RL,,12160,Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,TA,6,Typ,0,,Attchd,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,5,2010,COD,142000
8,535353130,20,RL,,15783,Pave,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,TA,6,Typ,0,,Detchd,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,0,6,2007,WD ,112500
9,535426130,60,RL,70.0,11606,Pave,HLS,Inside,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,Fa,9,Typ,2,TA,Attchd,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,9,2007,WD ,135000
10,527451290,160,RM,21.0,1680,Pave,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,TA,4,Typ,0,,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,7,2008,COD,85400
11,906380150,20,RL,64.0,7488,Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,Gd,6,Typ,0,,Attchd,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,2,2006,WD ,183600
12,906226060,70,RL,120.0,26400,Pave,Bnk,FR2,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,,,,,0.0,,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,TA,7,Mod,1,TA,Attchd,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,6,2009,WD ,131000
13,533236070,160,FV,24.0,2645,Pave,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,Gd,7,Typ,0,,Detchd,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,12,2008,ConLD,200000
14,907418040,20,RL,74.0,9627,Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,Gd,6,Typ,0,,Attchd,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,6,2008,WD ,193000
15,923202105,20,RL,93.0,10114,Pave,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,Gd,7,Typ,0,,Attchd,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,3,2010,WD ,173500
16,902301140,70,RM,34.0,4571,Pave,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,TA,7,Typ,0,,Detchd,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,5,2008,COD,98000
17,905101490,20,RL,80.0,8816,Pave,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,TA,5,Typ,0,,Detchd,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,6,2009,WD ,139000
18,905107140,20,RL,71.0,8197,Pave,Lvl,Inside,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,TA,7,Typ,1,TA,Attchd,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,4,2007,WD ,143500
19,528458070,60,FV,72.0,8640,Pave,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,Gd,7,Typ,0,,Attchd,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,6,2010,Con,215200
20,905106150,20,RL,109.0,8724,Pave,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,TA,5,Typ,1,Po,Attchd,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,5,2007,WD ,129000
21,527131030,120,RL,40.0,5664,Pave,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,10,2009,WD ,278000
22,528142010,60,RL,103.0,12867,Pave,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,,,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,Ex,8,Typ,1,Gd,Attchd,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,7,2006,New,344133
23,527165230,20,RL,,7980,Pave,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,TA,6,Typ,0,,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,3,2010,WD ,185000
24,527250040,190,RL,100.0,34650,Pave,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,TA,5,Typ,0,,Attchd,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,1,2006,WD ,145000
25,535104120,20,RL,92.0,10573,Pave,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,TA,6,Typ,1,TA,Attchd,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,4,2009,WD ,187500
26,532376160,20,RL,65.0,8450,Pave,Lvl,Inside,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,TA,5,Typ,1,Gd,Detchd,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,4,2010,WD ,138500
27,909277040,50,RL,,11700,Pave,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,7,2008,WD ,198000
28,911103060,190,C (all),75.0,8250,Pave,Lvl,Inside,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,TA,9,Typ,0,,,,0.0,0.0,,,N,0,0,133,0,0,0,6,2007,WD ,119600
