id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,land_contour,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,shape_ir2,shape_ir3,shape_reg,tot_baths,tot_sq_ft,sale_cod,sale_cwd,sale_con,sale_conld,sale_conli,sale_conlw,sale_new,sale_oth,sale_wd_,log_sqft,sqft_qual,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker
109,533352170,60,RL,69.05520046484602,13517,Pave,Lvl,CulDSac,Gtl,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,unkwn,Attchd,1950,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,unkwn,unkwn,0,3,2010,WD ,130500,0,0,0,3.0,2679.0,0,0,0,0,0,0,0,0,1,7.893198869544609,16074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
544,531379050,60,RL,43.0,11492,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1950,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,unkwn,unkwn,0,4,2009,WD ,220000,0,0,0,4.0,3594.0,0,0,0,0,0,0,0,0,1,8.187021067343505,25158.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,535304180,20,RL,68.0,7922,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,unkwn,Detchd,1950,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,unkwn,unkwn,0,1,2010,WD ,109000,0,0,1,2.0,2360.0,0,0,0,0,0,0,0,0,1,7.7664168980196555,11800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
318,916386060,60,RL,73.0,9802,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,unkwn,BuiltIn,1950,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,unkwn,unkwn,0,4,2010,WD ,174000,0,0,1,3.0,2228.0,0,0,0,0,0,0,0,0,1,7.708859601047175,11140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
255,906425045,50,RL,82.0,14235,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,unkwn,Detchd,1950,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,unkwn,unkwn,0,3,2010,WD ,138500,0,0,0,2.0,2605.0,0,0,0,0,0,0,0,0,1,7.865187954187467,15630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,535126040,20,RL,137.0,16492,Pave,Lvl,Corner,Gtl,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1950,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,unkwn,unkwn,0,6,2010,WD ,190000,0,0,0,3.0,3983.0,0,0,0,0,0,0,0,0,1,8.289790583181643,23898.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2827,908186070,180,RM,35.0,3675,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,unkwn,Basment,1950,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,unkwn,unkwn,0,6,2006,New,140000,0,0,1,3.0,2144.0,0,0,0,0,0,0,1,0,0,7.670428522190693,12864.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,535154050,20,RL,69.05520046484602,12160,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,unkwn,Attchd,1950,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,MnPrv,unkwn,0,5,2010,COD,142000,0,0,0,2.0,2907.0,1,0,0,0,0,0,0,0,0,7.9748769005588755,14535.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1942,535353130,20,RL,69.05520046484602,15783,Pave,Lvl,Inside,Gtl,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,unkwn,Detchd,1950,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,0,MnPrv,Shed,400,6,2007,WD ,112500,0,0,1,1.0,2268.0,0,0,0,0,0,0,0,0,1,7.7266536648476425,11340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1956,535426130,60,RL,70.0,11606,Pave,HLS,Inside,Sev,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1950,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,unkwn,unkwn,0,9,2007,WD ,135000,0,0,0,4.0,3624.0,0,0,0,0,0,0,0,0,1,8.19533366716287,18120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
